"gene","Judith","Leo","Maryke"
"1","ENSPTRG00000000001",44,20,9
"2","ENSPTRG00000000023",7,6,10
"3","ENSPTRG00000000025",14,7,2
"4","ENSPTRG00000000027",30,31,9
"5","ENSPTRG00000000028",95,44,48
"6","ENSPTRG00000000029",46,28,22
"7","ENSPTRG00000000031",25,8,1
"8","ENSPTRG00000000033",11,4,8
"9","ENSPTRG00000000034",189,171,98
"10","ENSPTRG00000000038",97,39,38
"11","ENSPTRG00000000040",7,1,3
"12","ENSPTRG00000000044",7,4,4
"13","ENSPTRG00000000049",99,53,60
"14","ENSPTRG00000000050",4,8,2
"15","ENSPTRG00000000052",27,12,7
"16","ENSPTRG00000000053",76,63,33
"17","ENSPTRG00000000054",18,14,1
"18","ENSPTRG00000000062",10,5,9
"19","ENSPTRG00000000063",78,38,30
"20","ENSPTRG00000000064",41,19,22
"21","ENSPTRG00000000068",42,15,10
"22","ENSPTRG00000000069",31,15,21
"23","ENSPTRG00000000075",1,2,1
"24","ENSPTRG00000000076",477,340,492
"25","ENSPTRG00000000079",43,18,17
"26","ENSPTRG00000000084",19,9,4
"27","ENSPTRG00000000089",16,5,21
"28","ENSPTRG00000000091",29,21,1
"29","ENSPTRG00000000092",11,8,2
"30","ENSPTRG00000000093",16,13,9
"31","ENSPTRG00000000094",55,25,16
"32","ENSPTRG00000000096",13,9,8
"33","ENSPTRG00000000098",18,9,10
"34","ENSPTRG00000000099",5,7,7
"35","ENSPTRG00000000101",96,39,12
"36","ENSPTRG00000000102",282,156,142
"37","ENSPTRG00000000106",19,7,5
"38","ENSPTRG00000000109",1825,1068,924
"39","ENSPTRG00000000112",6,13,6
"40","ENSPTRG00000000113",3,2,2
"41","ENSPTRG00000000115",23,25,38
"42","ENSPTRG00000000120",67,45,21
"43","ENSPTRG00000000121",28,15,8
"44","ENSPTRG00000000122",22,3,2
"45","ENSPTRG00000000123",32,24,19
"46","ENSPTRG00000000124",11,7,13
"47","ENSPTRG00000000126",24,19,14
"48","ENSPTRG00000000127",10,7,13
"49","ENSPTRG00000000130",27,8,18
"50","ENSPTRG00000000131",59,22,16
"51","ENSPTRG00000000132",28,19,7
"52","ENSPTRG00000000133",10,4,5
"53","ENSPTRG00000000136",75,54,53
"54","ENSPTRG00000000138",163,63,75
"55","ENSPTRG00000000140",95,44,24
"56","ENSPTRG00000000142",26,10,12
"57","ENSPTRG00000000147",13,9,5
"58","ENSPTRG00000000148",19,9,5
"59","ENSPTRG00000000149",44,21,30
"60","ENSPTRG00000000151",12,2,3
"61","ENSPTRG00000000153",9,5,6
"62","ENSPTRG00000000154",12,8,36
"63","ENSPTRG00000000157",94,72,30
"64","ENSPTRG00000000158",47,19,15
"65","ENSPTRG00000000159",56,32,14
"66","ENSPTRG00000000160",39,11,17
"67","ENSPTRG00000000161",31,6,11
"68","ENSPTRG00000000164",28,11,12
"69","ENSPTRG00000000165",8,6,6
"70","ENSPTRG00000000167",26,14,19
"71","ENSPTRG00000000185",10,7,18
"72","ENSPTRG00000000186",8,12,5
"73","ENSPTRG00000000200",10,6,4
"74","ENSPTRG00000000201",9,7,13
"75","ENSPTRG00000000205",75,37,25
"76","ENSPTRG00000000210",31,25,11
"77","ENSPTRG00000000211",28,11,6
"78","ENSPTRG00000000225",12,7,9
"79","ENSPTRG00000000226",66,31,11
"80","ENSPTRG00000000228",142,75,54
