"name","family","class","Judith","Leo","Maryke"
"1","(CATTC)n","Satellite","Satellite",3,0,0
"2","(GAATG)n","Satellite","Satellite",102,21,25
"3","6kbHsap","acro","Satellite",690,257,248
"4","7SK","RNA","RNA",188,86,14
"5","ACRO1","acro","Satellite",18,15,0
"6","ALR/Alpha","centr","Satellite",13,0,7
"7","ALRY-MAJOR_PT","Y-chromosome","Satellite",12764,8861,22011
"8","ALRY-MINOR_PT","Y-chromosome","Satellite",0,0,0
"9","Alu","Alu","SINE",625,265,170
"10","AluJb","Alu","SINE",84521,43781,27143
"11","AluJo","Alu","SINE",23796,10888,8214
"12","AluJr4","Alu","SINE",4649,2261,1295
"13","AluJr","Alu","SINE",64968,29728,19449
"14","AluSc5","Alu","SINE",1922,770,609
"15","AluSc8","Alu","SINE",11847,5106,3186
"16","AluSc","Alu","SINE",23177,8893,5716
"17","AluSg4","Alu","SINE",5539,2527,1378
"18","AluSg7","Alu","SINE",5232,2479,1682
"19","AluSg","Alu","SINE",23224,10307,7769
"20","AluSp","Alu","SINE",50087,20351,14474
"21","AluSq10","Alu","SINE",432,173,80
"22","AluSq2","Alu","SINE",31250,14712,8864
"23","AluSq4","Alu","SINE",1292,653,373
"24","AluSq","Alu","SINE",6492,2804,1857
"25","AluSx1","Alu","SINE",66320,25520,18758
"26","AluSx3","Alu","SINE",16900,6378,8770
"27","AluSx4","Alu","SINE",6293,2761,2110
"28","AluSx","Alu","SINE",79215,33654,24793
"29","AluSz6","Alu","SINE",22652,10677,6567
"30","AluSz","Alu","SINE",62235,27899,19191
"31","AluY","Alu","SINE",62748,29307,18868
"32","AluYa5","Alu","SINE",8,6,6
"33","AluYa8","Alu","SINE",21,5,1
"34","AluYb8","Alu","SINE",10,4,16
"35","AluYb9","Alu","SINE",0,3,2
"36","AluYc3","Alu","SINE",251,61,130
"37","AluYc","Alu","SINE",1867,705,540
"38","AluYd8","Alu","SINE",0,0,0
"39","AluYe5","Alu","SINE",1481,246,583
"40","AluYe6","Alu","SINE",219,72,23
"41","AluYf1","Alu","SINE",704,226,150
"42","AluYg6","Alu","SINE",32,10,9
"43","AluYh3","Alu","SINE",1255,447,337
"44","AluYh9","Alu","SINE",36,9,1
"45","AluYi6","Alu","SINE",60,17,4
"46","AluYk11","Alu","SINE",75,27,6
"47","AluYk12","Alu","SINE",7,2,1
"48","AluYk2","Alu","SINE",3339,1472,672
"49","AluYk3","Alu","SINE",14767,10613,6764
