"gene","GM18558","GM18960","GM19240"
"1","ENSG00000000419",92,170,106
"2","ENSG00000000457",9,11,41
"3","ENSG00000000460",15,44,21
"4","ENSG00000000938",39,49,78
"5","ENSG00000001036",6,31,128
"6","ENSG00000001084",34,20,36
"7","ENSG00000001461",3,4,15
"8","ENSG00000001497",23,49,46
"9","ENSG00000001629",19,25,21
"10","ENSG00000001630",80,84,96
"11","ENSG00000001631",22,31,28
"12","ENSG00000002330",13,31,19
"13","ENSG00000002549",72,163,115
"14","ENSG00000002586",147,100,32
"15","ENSG00000002822",16,25,28
"16","ENSG00000002834",34,61,41
"17","ENSG00000002919",32,46,44
"18","ENSG00000003056",81,95,170
"19","ENSG00000003147",3,4,1
"20","ENSG00000003249",6,15,1
"21","ENSG00000003393",7,6,15
"22","ENSG00000003400",4,4,17
"23","ENSG00000003402",59,73,95
"24","ENSG00000003509",15,16,26
"25","ENSG00000003756",55,59,68
"26","ENSG00000004139",10,7,24
"27","ENSG00000004142",86,144,110
"28","ENSG00000004399",2,2,24
"29","ENSG00000004455",47,53,64
"30","ENSG00000004468",3,5,76
"31","ENSG00000004478",184,397,144
"32","ENSG00000004487",51,76,74
"33","ENSG00000004534",53,46,84
"34","ENSG00000004700",37,61,44
"35","ENSG00000004766",14,15,43
"36","ENSG00000004777",3,3,10
"37","ENSG00000004779",125,124,30
"38","ENSG00000004864",12,13,51
"39","ENSG00000004866",35,48,71
"40","ENSG00000004897",37,44,34
"41","ENSG00000004961",38,73,48
"42","ENSG00000004975",35,29,47
"43","ENSG00000005007",42,44,27
"44","ENSG00000005020",27,27,32
"45","ENSG00000005022",206,557,308
"46","ENSG00000005059",20,29,58
"47","ENSG00000005075",102,165,95
"48","ENSG00000005156",7,16,33
"49","ENSG00000005175",24,50,44
"50","ENSG00000005187",11,15,43
"51","ENSG00000005194",40,66,62
"52","ENSG00000005206",7,9,28
"53","ENSG00000005238",7,5,31
"54","ENSG00000005243",2,6,17
"55","ENSG00000005302",56,64,80
"56","ENSG00000005339",19,19,22
"57","ENSG00000005379",4,2,18
"58","ENSG00000005436",8,14,60
"59","ENSG00000005448",33,39,36
"60","ENSG00000005469",5,9,18
"61","ENSG00000005471",5,6,32
"62","ENSG00000005483",27,20,34
"63","ENSG00000005486",9,18,44
"64","ENSG00000005700",22,31,29
"65","ENSG00000005801",8,9,20
"66","ENSG00000005810",19,35,40
"67","ENSG00000005812",12,22,4
"68","ENSG00000005844",9,33,44
"69","ENSG00000005882",4,13,22
"70","ENSG00000005889",5,4,15
"71","ENSG00000005893",83,58,58
"72","ENSG00000005955",48,63,67
"73","ENSG00000006007",31,39,56
"74","ENSG00000006025",11,8,12
"75","ENSG00000006062",31,26,22
"76","ENSG00000006114",11,18,34
"77","ENSG00000006125",51,78,63
"78","ENSG00000006282",12,27,8
"79","ENSG00000006327",6,2,1
"80","ENSG00000006432",3,2,53
"81","ENSG00000006451",49,64,87
"82","ENSG00000006453",4,7,43
"83","ENSG00000006530",22,37,87
"84","ENSG00000006576",13,12,54
"85","ENSG00000006607",5,7,27
"86","ENSG00000006625",33,38,34
"87","ENSG00000006634",24,31,29
"88","ENSG00000006652",63,44,44
"89","ENSG00000006695",17,18,20
"90","ENSG00000006704",24,10,14
"91","ENSG00000006712",57,71,42
"92","ENSG00000006715",30,42,37
"93","ENSG00000006740",2,2,37
"94","ENSG00000006744",46,68,65
"95","ENSG00000006756",3,3,11
"96","ENSG00000006757",8,14,66
"97","ENSG00000006831",28,26,52
"98","ENSG00000007047",19,24,26
"99","ENSG00000007080",21,72,30
"100","ENSG00000007129",2,3,18
"101","ENSG00000007168",77,88,113
"102","ENSG00000007202",33,47,49
"103","ENSG00000007237",30,22,35
"104","ENSG00000007312",107,147,71
"105","ENSG00000007376",18,17,1
"106","ENSG00000007392",29,40,29
"107","ENSG00000007520",27,94,16
"108","ENSG00000007545",4,4,16
"109","ENSG00000007923",44,52,38
"110","ENSG00000008018",276,389,419
"111","ENSG00000008056",80,58,106
"112","ENSG00000008083",17,9,33
"113","ENSG00000008128",28,31,53
"114","ENSG00000008130",36,56,47
"115","ENSG00000008256",27,20,29
"116","ENSG00000008277",7,8,29
"117","ENSG00000008282",41,61,20
"118","ENSG00000008294",36,26,30
"119","ENSG00000008323",3,3,49
"120","ENSG00000008382",11,10,4
"121","ENSG00000008394",32,38,120
"122","ENSG00000008405",6,9,56
