"name","family","class","GM18558","GM18960","GM19240"
"1","(CATTC)n","Satellite","Satellite",14,28,26
"2","(GAATG)n","Satellite","Satellite",28,36,8
"3","7SK","RNA","RNA",25,8,24
"4","ACRO1","acro","Satellite",85,2,50
"5","ALINE","RTE","LINE",29,19,45
"6","ALR/Alpha","centr","Satellite",219,465,307
"7","AluJb","Alu","SINE",29109,12846,12462
"8","AluJo","Alu","SINE",16056,7549,6246
"9","AluJr4","Alu","SINE",3608,1617,1667
"10","AluJr","Alu","SINE",17120,7906,6570
"11","AluSc5","Alu","SINE",1212,607,522
"12","AluSc8","Alu","SINE",7416,2017,2042
"13","AluSc","Alu","SINE",5746,2517,2464
"14","AluSg4","Alu","SINE",1552,770,738
"15","AluSg7","Alu","SINE",1475,660,579
"16","AluSg","Alu","SINE",8782,3880,4316
"17","AluSp","Alu","SINE",11590,5431,5168
"18","AluSq10","Alu","SINE",455,178,132
"19","AluSq2","Alu","SINE",11131,4890,4889
"20","AluSq4","Alu","SINE",216,85,111
"21","AluSq","Alu","SINE",5181,2202,2488
"22","AluSx1","Alu","SINE",24532,10520,10533
"23","AluSx3","Alu","SINE",5850,2618,2377
"24","AluSx4","Alu","SINE",1323,531,769
"25","AluSx","Alu","SINE",27983,12457,11871
"26","AluSz6","Alu","SINE",9623,4428,4408
"27","AluSz","Alu","SINE",21309,9167,9780
"28","AluY","Alu","SINE",18959,8322,9153
"29","AluYa5","Alu","SINE",283,116,99
"30","AluYa8","Alu","SINE",12,12,0
"31","AluYb8","Alu","SINE",208,96,137
"32","AluYb9","Alu","SINE",27,16,0
"33","AluYc3","Alu","SINE",94,47,79
"34","AluYc5","Alu","SINE",2,1,6
"35","AluYc","Alu","SINE",608,240,318
"36","AluYd8","Alu","SINE",19,13,0
"37","AluYf4","Alu","SINE",168,52,50
"38","AluYf5","Alu","SINE",13,6,0
"39","AluYg6","Alu","SINE",39,19,26
"40","AluYh9","Alu","SINE",11,7,0
"41","AluYk11","Alu","SINE",52,45,34
"42","AluYk12","Alu","SINE",8,5,0
"43","AluYk4","Alu","SINE",185,62,135
"44","AmnSINE1","Deu","SINE",77,46,0
"45","AmnSINE2","Deu","SINE",9,6,0
"46","Arthur1","hAT-Tip100","DNA",115,77,22
"47","Arthur1A","hAT-Tip100","DNA",87,50,48
"48","Arthur1B","hAT-Tip100","DNA",111,51,54
"49","Arthur1C","hAT-Tip100","DNA",34,21,0
"50","BLACKJACK","hAT-Blackjack","DNA",286,177,102
"51","BSR/Beta","Satellite","Satellite",132,171,225
"52","CER","Satellite","Satellite",65,36,52
"53","CR1_Mam","CR1","LINE",465,308,21
"54","Charlie10","hAT-Charlie","DNA",203,133,143
"55","Charlie10a","hAT-Charlie","DNA",35,18,0
"56","Charlie10b","hAT-Charlie","DNA",25,13,34
"57","Charlie11","hAT-Charlie","DNA",17,3,0
"58","Charlie12","hAT-Charlie","DNA",56,65,16
"59","Charlie13a","hAT-Charlie","DNA",62,31,25
"60","Charlie13b","hAT-Charlie","DNA",83,44,21
"61","Charlie14a","hAT-Charlie","DNA",42,17,0
"62","Charlie15a","hAT-Charlie","DNA",545,285,107
"63","Charlie16a","hAT-Charlie","DNA",207,105,95
"64","Charlie17a","hAT-Charlie","DNA",154,72,126
"65","Charlie18a","hAT-Charlie","DNA",346,216,215
"66","Charlie19a","hAT-Charlie","DNA",285,195,326
"67","Charlie1","hAT-Charlie","DNA",551,226,199
"68","Charlie1a","hAT-Charlie","DNA",1375,705,692
"69","Charlie1b","hAT-Charlie","DNA",366,220,226
"70","Charlie1b_Mars","hAT-Charlie","DNA",0,0,0
"71","Charlie20a","hAT-Charlie","DNA",72,46,34
"72","Charlie21a","hAT-Charlie","DNA",105,41,52
"73","Charlie22a","hAT-Charlie","DNA",126,67,59
"74","Charlie23a","hAT-Charlie","DNA",248,82,68
