"ensembl_gene_id","external_gene_name"
"1","ENSG00000162714","ZNF496"
"2","ENSG00000189180","ZNF33A"
"3","ENSG00000125945","ZNF436"
"4","ENSG00000175395","ZNF25"
"5","ENSG00000075407","ZNF37A"
"6","ENSG00000188295","ZNF669"
"7","ENSG00000198298","ZNF485"
"8","ENSG00000187801","ZFP69B"
"9","ENSG00000198105","ZNF248"
"10","ENSG00000196693","ZNF33B"
"11","ENSG00000196418","ZNF124"
"12","ENSG00000181450","ZNF678"
"13","ENSG00000121903","ZSCAN20"
"14","ENSG00000197472","ZNF695"
"15","ENSG00000117010","ZNF684"
"16","ENSG00000187815","ZFP69"
"17","ENSG00000005801","ZNF195"
"18","ENSG00000090612","ZNF268"
"19","ENSG00000256223","ZNF10"
"20","ENSG00000149054","ZNF215"
"21","ENSG00000167528","ZNF641"
"22","ENSG00000149050","ZNF214"
"23","ENSG00000176371","ZSCAN2"
"24","ENSG00000198393","ZNF26"
"25","ENSG00000196387","ZNF140"
"26","ENSG00000166261","ZNF202"
"27","ENSG00000198040","ZNF84"
"28","ENSG00000196458","ZNF605"
"29","ENSG00000196946","ZNF705A"
"30","ENSG00000140265","ZSCAN29"
"31","ENSG00000006194","ZNF263"
"32","ENSG00000103199","ZNF500"
"33","ENSG00000099326","MZF1"
"34","ENSG00000122386","ZNF205"
"35","ENSG00000229809","ZNF688"
"36","ENSG00000130182","ZSCAN10"
"37","ENSG00000169951","ZNF764"
"38","ENSG00000186812","ZNF397"
"39","ENSG00000167840","ZNF232"
"40","ENSG00000169955","ZNF747"
"41","ENSG00000172466","ZNF24"
"42","ENSG00000103343","ZNF174"
"43","ENSG00000140987","ZSCAN32"
"44","ENSG00000156853","ZNF689"
"45","ENSG00000157429","ZNF19"
"46","ENSG00000186496","ZNF396"
"47","ENSG00000170100","ZNF778"
"48","ENSG00000154957","ZNF18"
"49","ENSG00000167981","ZNF597"
"50","ENSG00000197566","ZNF624"
"51","ENSG00000197302","ZNF720"
"52","ENSG00000185947","ZNF267"
"53","ENSG00000167377","ZNF23"
"54","ENSG00000141040","ZNF287"
"55","ENSG00000181666","ZNF875"
"56","ENSG00000155592","ZKSCAN2"
"57","ENSG00000184517","ZFP1"
"58","ENSG00000198300","PEG3"
"59","ENSG00000197162","ZNF785"
"60","ENSG00000010539","ZNF200"
"61","ENSG00000184939","ZFP90"
"62","ENSG00000126856","PRDM7"
"63","ENSG00000085644","ZNF213"
"64","ENSG00000162086","ZNF75A"
"65","ENSG00000175322","ZNF519"
"66","ENSG00000083817","ZNF416"
"67","ENSG00000159885","ZNF222"
"68","ENSG00000083812","ZNF324"
"69","ENSG00000167384","ZNF180"
"70","ENSG00000256087","ZNF432"
"71","ENSG00000105136","ZNF419"
"72","ENSG00000128000","ZNF780B"
"73","ENSG00000130803","ZNF317"
"74","ENSG00000256683","ZNF350"
"75","ENSG00000198342","ZNF442"
"76","ENSG00000121413","ZSCAN18"
"77","ENSG00000121417","ZNF211"
"78","ENSG00000121406","ZNF549"
"79","ENSG00000204604","ZNF468"
"80","ENSG00000159905","ZNF221"
"81","ENSG00000131849","ZNF132"
"82","ENSG00000130544","ZNF557"
"83","ENSG00000130844","ZNF331"
"84","ENSG00000130818","ZNF426"
"85","ENSG00000196757","ZNF700"
"86","ENSG00000105497","ZNF175"
"87","ENSG00000083844","ZNF264"
"88","ENSG00000124459","ZNF45"
"89","ENSG00000142556","ZNF614"
"90","ENSG00000198131","ZNF544"
"91","ENSG00000118620","ZNF430"
"92","ENSG00000142065","ZFP14"
"93","ENSG00000142528","ZNF473"
"94","ENSG00000141946","ZIM3"
"95","ENSG00000204920","ZNF155"
"96","ENSG00000256294","ZNF225"
"97","ENSG00000105750","ZNF85"
"98","ENSG00000180479","ZNF571"
"99","ENSG00000186272","ZNF17"
"100","ENSG00000198440","ZNF583"
"101","ENSG00000131845","ZNF304"
"102","ENSG00000188033","ZNF490"
"103","ENSG00000196357","ZNF565"
"104","ENSG00000188171","ZNF626"
"105","ENSG00000172687","ZNF738"
"106","ENSG00000256229","ZNF486"
"107","ENSG00000171970","ZNF57"
"108","ENSG00000152443","ZNF776"
"109","ENSG00000196705","ZNF431"
"110","ENSG00000152467","ZSCAN1"
"111","ENSG00000171469","ZNF561"
"112","ENSG00000167562","ZNF701"
"113","ENSG00000168661","ZNF30"
"114","ENSG00000213967","ZNF726"
