"gene","Guchi","Jaqo","Jingjing"
"1","ENSPPYG00000000002",25,41,79
"2","ENSPPYG00000000004",10,18,11
"3","ENSPPYG00000000037",5,14,1
"4","ENSPPYG00000000042",12,23,40
"5","ENSPPYG00000000044",15,42,16
"6","ENSPPYG00000000045",6,10,9
"7","ENSPPYG00000000046",14,20,8
"8","ENSPPYG00000000047",4,10,10
"9","ENSPPYG00000000050",2,4,9
"10","ENSPPYG00000000052",242,246,81
"11","ENSPPYG00000000053",35,21,189
"12","ENSPPYG00000000055",7,6,11
"13","ENSPPYG00000000057",33,40,9
"14","ENSPPYG00000000061",5,8,20
"15","ENSPPYG00000000067",8,6,55
"16","ENSPPYG00000000069",3,7,6
"17","ENSPPYG00000000071",41,46,40
"18","ENSPPYG00000000085",20,29,20
"19","ENSPPYG00000000086",6,12,14
"20","ENSPPYG00000000090",49,44,23
"21","ENSPPYG00000000092",6,12,13
"22","ENSPPYG00000000095",10,11,80
"23","ENSPPYG00000000096",21,24,56
"24","ENSPPYG00000000098",12,26,6
"25","ENSPPYG00000000099",31,86,42
"26","ENSPPYG00000000102",18,19,32
"27","ENSPPYG00000000103",14,19,67
"28","ENSPPYG00000000108",43,44,52
"29","ENSPPYG00000000112",16,25,8
"30","ENSPPYG00000000117",7,13,16
"31","ENSPPYG00000000121",17,21,6
"32","ENSPPYG00000000126",29,25,38
"33","ENSPPYG00000000128",12,30,12
"34","ENSPPYG00000000134",3,3,13
"35","ENSPPYG00000000139",1,2,4
"36","ENSPPYG00000000145",10,24,78
"37","ENSPPYG00000000146",8,16,164
"38","ENSPPYG00000000147",4,16,64
"39","ENSPPYG00000000148",157,229,11
"40","ENSPPYG00000000153",6,14,22
"41","ENSPPYG00000000154",4,14,8
"42","ENSPPYG00000000158",5,4,15
"43","ENSPPYG00000000159",3,9,16
"44","ENSPPYG00000000160",7,10,14
"45","ENSPPYG00000000161",7,16,4
"46","ENSPPYG00000000164",230,174,60
"47","ENSPPYG00000000165",5,3,7
"48","ENSPPYG00000000168",248,208,163
"49","ENSPPYG00000000171",29,58,24
"50","ENSPPYG00000000174",57,65,24
"51","ENSPPYG00000000176",14,34,11
"52","ENSPPYG00000000182",31,55,14
"53","ENSPPYG00000000183",18,57,111
"54","ENSPPYG00000000184",11,21,28
"55","ENSPPYG00000000186",10,18,6
"56","ENSPPYG00000000187",50,27,14
"57","ENSPPYG00000000193",4,2,6
"58","ENSPPYG00000000195",7,12,8
"59","ENSPPYG00000000196",28,39,13
"60","ENSPPYG00000000197",13,24,16
"61","ENSPPYG00000000198",6,7,6
"62","ENSPPYG00000000200",6,10,10
"63","ENSPPYG00000000204",3,11,4
"64","ENSPPYG00000000207",19,23,14
"65","ENSPPYG00000000208",33,40,6
"66","ENSPPYG00000000209",16,23,12
"67","ENSPPYG00000000210",50,86,48
"68","ENSPPYG00000000212",5,9,25
"69","ENSPPYG00000000214",40,47,9
"70","ENSPPYG00000000219",6,7,12
"71","ENSPPYG00000000221",4,8,11
"72","ENSPPYG00000000223",9,11,8
"73","ENSPPYG00000000226",4,4,13
"74","ENSPPYG00000000227",5,9,10
"75","ENSPPYG00000000229",4,6,19
"76","ENSPPYG00000000232",6,8,10
"77","ENSPPYG00000000233",13,13,10
"78","ENSPPYG00000000234",6,7,320
"79","ENSPPYG00000000236",22,15,156
"80","ENSPPYG00000000239",13,18,12
"81","ENSPPYG00000000245",5,17,18
"82","ENSPPYG00000000255",7,13,16
"83","ENSPPYG00000000265",15,15,4
"84","ENSPPYG00000000268",3,6,16
"85","ENSPPYG00000000269",43,94,20
"86","ENSPPYG00000000271",6,17,6
"87","ENSPPYG00000000283",51,84,19
"88","ENSPPYG00000000285",84,96,34
"89","ENSPPYG00000000286",4,5,7
"90","ENSPPYG00000000288",5,10,8
"91","ENSPPYG00000000289",5,4,12
"92","ENSPPYG00000000291",2,7,14
"93","ENSPPYG00000000297",4,5,3
"94","ENSPPYG00000000299",102,105,332
"95","ENSPPYG00000000315",2,5,27
"96","ENSPPYG00000000316",11,11,5
"97","ENSPPYG00000000318",28,19,25
"98","ENSPPYG00000000326",83,187,444
"99","ENSPPYG00000000327",47,68,13
