"GM18558","GM18960","GM19240","Guchi","Jaqo","Jingjing"
"ENSG00000047188",12,13,27,4,5,6
"ENSG00000123992",62,68,80,30,33,91
"ENSG00000093183",21,32,44,3,3,16
"ENSG00000163945",8,3,11,2,3,1
"ENSG00000174842",15,19,32,7,9,16
"ENSG00000079739",31,34,52,15,16,10
"ENSG00000143499",17,24,19,8,9,7
"ENSG00000057757",47,59,45,19,36,15
"ENSG00000011007",39,50,68,36,42,11
"ENSG00000171163",16,20,40,22,35,68
"ENSG00000142676",1531,1998,2640,1164,1531,4441
"ENSG00000182827",21,25,24,17,14,7
"ENSG00000155363",25,34,25,18,30,108
"ENSG00000115271",20,42,26,17,29,22
"ENSG00000090316",26,36,16,19,14,2
"ENSG00000115947",42,45,27,14,23,16
"ENSG00000255835",49,126,53,25,50,21
"ENSG00000138678",34,3,15,1,13,1
"ENSG00000175137",17,15,14,9,16,9
"ENSG00000117724",9,24,23,3,7,9
"ENSG00000168566",14,6,26,7,16,28
"ENSG00000163872",10,18,32,5,5,10
"ENSG00000143401",52,78,67,26,40,49
"ENSG00000142856",13,21,32,3,4,8
"ENSG00000163832",18,24,37,1,5,9
"ENSG00000115368",67,92,67,49,54,20
"ENSG00000164258",54,78,64,38,21,78
"ENSG00000121486",17,21,20,9,16,19
"ENSG00000136643",8,6,15,3,3,11
"ENSG00000114770",3,1,11,3,2,3
"ENSG00000143952",14,13,36,9,14,9
"ENSG00000115993",9,10,23,5,9,1
"ENSG00000114650",23,28,33,13,19,24
"ENSG00000186141",33,43,42,13,19,26
"ENSG00000172340",11,34,36,15,21,4
"ENSG00000051596",42,86,22,36,33,13
"ENSG00000136631",17,33,40,14,18,20
"ENSG00000163950",92,108,39,60,51,22
"ENSG00000146067",11,12,9,3,7,21
"ENSG00000196187",9,10,24,9,11,8
"ENSG00000135842",15,25,52,3,3,8
"ENSG00000137628",5,5,10,3,2,3
"ENSG00000109762",30,69,59,9,12,9
"ENSG00000239264",38,182,309,33,72,9
"ENSG00000125944",67,98,75,63,69,15
"ENSG00000129116",3,2,1,6,8,9
"ENSG00000181555",33,34,55,15,22,1
"ENSG00000039123",51,63,48,30,40,17
"ENSG00000125703",12,19,36,9,12,9
"ENSG00000143303",14,10,31,6,11,7
"ENSG00000010803",6,13,18,3,5,9
"ENSG00000143321",83,159,201,67,62,21
"ENSG00000088035",8,7,28,6,9,15
"ENSG00000135966",22,22,27,11,15,9
"ENSG00000143368",105,178,58,63,85,7
"ENSG00000122482",18,13,25,7,10,4
"ENSG00000178104",5,5,25,3,7,11
"ENSG00000112983",20,21,24,14,22,30
"ENSG00000143314",36,87,57,33,61,131
"ENSG00000155755",5,10,18,3,4,13
"ENSG00000004487",51,76,74,16,38,16
"ENSG00000186352",18,27,28,2,3,1
"ENSG00000013810",18,55,35,9,15,146
"ENSG00000171865",23,35,57,267,350,666
"ENSG00000196923",20,18,28,6,10,25
"ENSG00000112984",6,15,18,3,3,12
"ENSG00000128699",41,41,52,11,15,19
"ENSG00000183258",71,90,75,22,47,27
"ENSG00000168288",143,142,96,66,94,35
"ENSG00000143742",32,82,156,49,56,21
"ENSG00000168724",44,64,43,36,31,16
"ENSG00000188092",21,23,53,9,16,11
"ENSG00000182551",19,38,30,33,40,57
"ENSG00000109775",23,41,47,22,22,40
"ENSG00000115966",27,33,27,17,30,9
"ENSG00000085871",14,12,32,19,25,16
"ENSG00000164134",42,57,31,28,25,9
"ENSG00000168936",3,15,46,10,5,2
"ENSG00000145191",83,109,116,40,41,57
"ENSG00000143815",58,80,69,12,29,9
"ENSG00000171863",1337,1764,1551,1403,1516,2214
"ENSG00000174953",28,42,47,24,39,9
"ENSG00000144741",29,19,53,16,20,40
"ENSG00000169764",45,67,86,40,31,40
"ENSG00000135972",48,54,44,51,34,60
"ENSG00000162769",15,21,36,3,5,16
"ENSG00000171853",28,27,30,7,9,16
"ENSG00000094880",32,49,38,16,27,4
"ENSG00000182606",16,24,36,8,11,8
"ENSG00000117262",22,31,21,9,16,11
"ENSG00000109390",77,46,31,9,20,40
"ENSG00000144029",76,79,56,40,47,46
"ENSG00000097046",5,9,12,4,9,6
"ENSG00000113460",112,147,83,26,41,26
"ENSG00000151687",5,5,52,1,2,11
"ENSG00000160796",54,61,26,9,24,13
"ENSG00000044115",83,107,53,9,52,18
"ENSG00000135829",158,214,95,84,130,13
"ENSG00000117228",23,32,23,21,82,11
"ENSG00000088205",82,113,77,40,52,11
"ENSG00000198130",18,40,32,12,9,24
"ENSG00000168038",2,3,44,2,3,8
"ENSG00000135605",16,31,27,14,19,1
"ENSG00000049089",20,37,12,3,7,9
"ENSG00000117691",14,55,67,19,13,134
"ENSG00000143514",21,22,38,9,16,5
"ENSG00000143493",25,33,40,11,16,10
"ENSG00000065882",17,27,64,14,17,28
"ENSG00000115504",19,25,30,15,21,10
"ENSG00000070831",298,260,426,143,182,44
"ENSG00000116698",78,97,85,15,23,10
"ENSG00000116459",232,277,216,106,116,131
"ENSG00000144115",2,2,18,8,5,16
"ENSG00000075539",8,10,40,5,6,13
"ENSG00000048707",6,6,22,5,6,11
"ENSG00000198055",30,75,43,19,16,5
"ENSG00000128654",46,73,100,28,34,22
"ENSG00000157796",8,6,34,5,8,12
"ENSG00000143344",3,10,21,7,6,3
"ENSG00000163655",63,103,51,42,44,71
"ENSG00000132842",22,41,40,13,16,16
"ENSG00000113758",30,41,15,3,13,9
"ENSG00000116918",40,53,42,14,22,7
"ENSG00000163629",1,3,34,9,28,1
"ENSG00000109320",126,128,105,57,104,17
"ENSG00000163382",53,86,62,59,43,115
"ENSG00000120725",10,23,24,5,11,17
"ENSG00000138386",19,17,39,21,31,13
"ENSG00000125633",11,8,21,5,15,23
"ENSG00000144199",15,31,57,25,46,177
"ENSG00000120705",116,157,93,72,66,20
"ENSG00000169220",46,59,28,7,9,43
"ENSG00000185946",31,17,38,9,22,11
"ENSG00000116906",55,76,61,16,19,54
"ENSG00000168036",69,89,62,64,66,34
"ENSG00000116473",114,120,320,65,72,34
"ENSG00000084070",78,104,94,54,80,33
"ENSG00000144589",8,11,10,10,14,24
"ENSG00000114982",11,14,22,9,14,8
"ENSG00000115419",111,151,125,48,69,9
"ENSG00000164253",20,50,27,9,14,17
"ENSG00000168028",912,1574,1592,1065,1040,6042
"ENSG00000186132",23,21,25,10,15,2
"ENSG00000155368",196,319,613,89,82,143
"ENSG00000162664",26,27,58,11,15,12
"ENSG00000120733",27,32,35,16,28,5
"ENSG00000162923",56,53,75,27,47,12
"ENSG00000163468",348,580,357,258,200,105
"ENSG00000135862",15,11,41,3,2,9
"ENSG00000092621",42,185,36,29,63,69
"ENSG00000018510",40,45,39,18,32,11
"ENSG00000160818",33,54,31,14,25,16
"ENSG00000145354",50,50,105,28,35,158
"ENSG00000109171",29,29,36,13,16,5
"ENSG00000171793",38,80,61,47,47,11
"ENSG00000116641",8,12,19,5,7,6
"ENSG00000137210",38,43,99,43,60,32
"ENSG00000109445",34,55,14,16,37,12
"ENSG00000162496",2,1,3,11,18,127
"ENSG00000123685",11,17,23,5,6,276
"ENSG00000203705",7,13,11,5,7,9
"ENSG00000066136",25,36,23,13,18,9
"ENSG00000162704",150,272,245,85,126,34
"ENSG00000162909",21,30,18,43,23,12
"ENSG00000169223",78,144,92,36,84,113
"ENSG00000164136",13,19,53,9,9,14
"ENSG00000064933",10,21,12,7,10,15
"ENSG00000173163",15,16,92,3,2,10
"ENSG00000144659",72,78,40,30,28,17
"ENSG00000185049",27,35,18,4,14,7
"ENSG00000109323",15,12,36,8,10,5
"ENSG00000116455",56,99,34,54,38,40
"ENSG00000120709",20,26,11,6,15,9
"ENSG00000171530",146,120,119,52,33,298
"ENSG00000137947",68,77,59,17,57,26
"ENSG00000155636",10,18,67,7,9,14
"ENSG00000169299",17,42,44,20,18,5
"ENSG00000117697",23,31,42,11,11,9
"ENSG00000080345",11,14,28,4,7,12
"ENSG00000143748",16,21,33,9,18,24
"ENSG00000032389",11,35,24,19,28,26
"ENSG00000160799",58,64,77,31,35,203
"ENSG00000138821",11,52,17,7,7,5
"ENSG00000143436",34,58,59,66,64,26
"ENSG00000172071",8,14,30,5,9,11
"ENSG00000056050",16,39,21,9,12,16
"ENSG00000137601",6,6,29,4,6,1
"ENSG00000115484",270,398,187,205,158,283
"ENSG00000162654",16,29,47,20,31,5
"ENSG00000177058",10,12,26,5,5,9
"ENSG00000109685",15,29,33,11,16,7
"ENSG00000162714",11,12,24,4,12,1
"ENSG00000123609",66,135,71,22,28,17
"ENSG00000153574",46,74,33,15,29,24
"ENSG00000170144",250,347,205,109,76,78
"ENSG00000143376",6,4,36,3,5,7
"ENSG00000109436",2,5,28,3,13,1
"ENSG00000168924",31,36,20,17,30,37
"ENSG00000115415",73,177,158,18,30,19
"ENSG00000162645",65,38,39,34,59,57
"ENSG00000135838",5,7,12,11,16,11
"ENSG00000164038",14,20,26,12,12,25
"ENSG00000115839",26,35,35,11,37,29
"ENSG00000136718",104,105,94,22,54,35
"ENSG00000154277",65,142,114,18,5,185
"ENSG00000145247",60,102,64,5,6,87
"ENSG00000163660",70,47,88,19,38,12
"ENSG00000038002",5,13,17,9,14,20
"ENSG00000115524",150,179,160,65,127,21
