"GM18558","GM18960","GM19240","Guchi","Jaqo","Jingjing"
"(CATTC)n",14,28,26,19,79,1
"(GAATG)n",28,36,8,0,0,0
"7SK",25,8,24,126,167,127
"ACRO1",85,2,50,0,0,0
"ALR/Alpha",219,465,307,1792,1623,561
"AluJb",29109,12846,12462,21487,27505,21337
"AluJo",16056,7549,6246,7608,10754,14374
"AluJr4",3608,1617,1667,1270,1896,1164
"AluJr",17120,7906,6570,19103,26228,20692
"AluSc5",1212,607,522,466,667,447
"AluSc8",7416,2017,2042,3234,4347,3429
"AluSc",5746,2517,2464,5536,8712,5264
"AluSg4",1552,770,738,2602,3441,2932
"AluSg7",1475,660,579,823,1077,454
"AluSg",8782,3880,4316,8721,16551,11867
"AluSp",11590,5431,5168,15394,22124,27855
"AluSq10",455,178,132,171,276,152
"AluSq2",11131,4890,4889,9088,12775,8209
"AluSq4",216,85,111,197,281,180
"AluSq",5181,2202,2488,2330,3591,2773
"AluSx1",24532,10520,10533,24435,34976,26539
"AluSx3",5850,2618,2377,5859,9004,6548
"AluSx4",1323,531,769,1977,2348,2088
"AluSx",27983,12457,11871,21059,54621,41822
"AluSz6",9623,4428,4408,7709,10004,6800
"AluSz",21309,9167,9780,22988,36119,31160
"AluY",18959,8322,9153,21143,34782,31257
"AluYa5",283,116,99,20,16,0
"AluYa8",12,12,0,36,39,4
"AluYb8",208,96,137,2,14,2
"AluYb9",27,16,0,3,5,12
"AluYc3",94,47,79,48,65,68
"AluYc",608,240,318,1313,1580,1357
"AluYd8",19,13,0,0,3,0
"AluYg6",39,19,26,65,85,6
"AluYh9",11,7,0,16,11,16
"AluYk11",52,45,34,5,4,0
"AluYk12",8,5,0,0,0,0
"AluYk4",185,62,135,71,99,46
"AmnSINE1",77,46,0,200,296,177
"Arthur1",115,77,22,412,618,78
"Arthur1A",87,50,48,62,98,53
"Arthur1B",111,51,54,183,166,239
"Arthur1C",34,21,0,16,45,18
"BLACKJACK",286,177,102,413,565,299
"BSR/Beta",132,171,225,94,156,71
"CER",65,36,52,0,0,0
"CR1_Mam",465,308,21,133,149,22
"Charlie10",203,133,143,192,216,344
"Charlie10a",35,18,0,19,44,9
"Charlie10b",25,13,34,23,23,1
"Charlie11",17,3,0,7,20,3
"Charlie12",56,65,16,0,0,9
"Charlie13a",62,31,25,55,48,0
"Charlie13b",83,44,21,10,15,17
"Charlie14a",42,17,0,96,106,123
"Charlie15a",545,285,107,328,600,176
"Charlie16a",207,105,95,196,154,71
"Charlie17a",154,72,126,115,59,10
"Charlie18a",346,216,215,179,325,43
"Charlie19a",285,195,326,94,119,23
"Charlie1",551,226,199,197,272,505
"Charlie1a",1375,705,692,1222,1618,1284
"Charlie1b",366,220,226,267,324,156
"Charlie20a",72,46,34,55,109,20
"Charlie21a",105,41,52,40,78,32
"Charlie22a",126,67,59,78,94,23
"Charlie23a",248,82,68,139,72,4
"Charlie24",238,116,174,70,96,79
"Charlie25",94,49,107,160,117,91
"Charlie26a",33,6,14,127,86,32
"Charlie2a",260,118,154,280,273,73
"Charlie2b",491,234,137,353,1469,278
"Charlie3",54,26,0,61,64,36
"Charlie4",42,17,0,56,95,146
"Charlie4a",499,244,115,263,338,146
"Charlie4z",1112,549,482,563,634,211
"Charlie5",359,189,112,469,464,113
"Charlie6",13,10,18,27,6,0
"Charlie7",469,204,74,421,494,328
"Charlie7a",164,69,23,90,129,40
"Charlie8",782,332,395,472,473,239
"Charlie9",210,91,64,154,138,36
"Cheshire",223,122,102,75,194,30
"D20S16",58,43,56,16,8,6
"DNA1_Mam",23,16,24,16,15,59
"ERV3-16A3_I-int",831,1833,972,6037,5898,7175
"ERV3-16A3_LTR",63,25,37,196,335,32
"ERVL-B4-int",596,386,77,975,1316,1885
"ERVL-E-int",818,443,430,1240,1518,504
"ERVL-int",65,30,59,215,186,121
"Eulor10",0,2,0,0,4,0
"Eulor11",0,0,0,0,3,0
"Eulor12",0,1,0,0,2,0
"Eulor1",7,1,0,0,3,0
"Eulor2A",0,0,0,0,6,0
"Eulor2B",10,7,0,2,2,0
"Eulor2C",6,14,0,0,2,0
"Eulor3",0,0,0,3,3,0
"Eulor4",0,0,0,0,0,0
"Eulor5A",16,6,52,28,31,10
"Eulor5B",0,0,0,2,3,0
"Eulor6A",0,0,0,38,53,4
"Eulor6B",3,1,0,0,3,0
"Eulor6C",0,0,0,0,0,0
"Eulor6D",6,0,0,18,8,0
"Eulor6E",0,0,0,0,2,0
"Eulor7",0,0,0,5,3,0
"Eulor8",11,2,0,35,80,0
"Eulor9A",9,2,0,17,9,0
"Eulor9B",0,0,0,0,2,0
"Eulor9C",2,3,0,11,9,4
"FAM",816,375,436,417,506,247
"FLAM_A",2218,1012,1359,1180,1617,1070
"FLAM_C",3112,1419,1572,2248,2878,2817
"FRAM",1112,476,406,1520,2356,742
"FordPrefect",22,29,15,104,89,12
"FordPrefect_a",9,3,0,27,30,50
"GSAT",0,3,0,0,1,0
"GSATII",89,82,47,0,11,24
"GSATX",3,4,0,107,281,40
"HAL1",4460,2287,1358,3499,4656,3954
"HAL1b",586,373,230,609,644,239
"HERV-Fc1_LTR2",0,0,0,0,0,0
"HERV15-int",264,60,65,20,9,5
"HERV16-int",186,107,107,298,417,208
"HERV17-int",233,100,60,3533,4855,3545
"HERV1_I-int",18,11,18,7,4,1
"HERV1_LTRa",12,4,0,4,4,0
"HERV1_LTRb",1,0,0,0,1,0
"HERV1_LTRc",4,3,0,0,0,1
"HERV1_LTRd",126,38,59,0,0,0
"HERV1_LTRe",9,9,0,0,0,0
"HERV3-int",1095,332,273,187,240,47
"HERV30-int",7,0,0,6,9,0
"HERV35I-int",46,12,80,201,299,81
"HERV4_I-int",288,140,23,50,47,30
"HERV9-int",357,100,148,235,231,214
"HERVE-int",803,309,435,51,33,70
"HERVE_a-int",357,366,349,94,23,0
"HERVFH19-int",14,5,0,59,71,20
"HERVFH21-int",45,14,0,53,13,0
"HERVH-int",1195,564,726,1206,1679,339
"HERVH48-int",115,40,43,39,39,0
"HERVI-int",411,123,33,25,20,56
"HERVIP10F-int",931,267,215,139,246,299
"HERVIP10FH-int",289,69,170,233,250,774
"HERVK-int",440,160,108,211,465,146
"HERVK11-int",107,42,0,173,192,43
"HERVK11D-int",10,0,0,20,6,0
"HERVK13-int",125,47,0,20,16,10
"HERVK14-int",171,110,207,101,142,41
"HERVK14C-int",2,6,24,9,1,15
"HERVK22-int",246,77,140,144,156,51
"HERVK3-int",403,114,99,218,504,176
"HERVK9-int",765,326,338,519,562,164
"HERVKC4-int",10,1,0,5,21,13
"HERVL-int",513,297,344,961,1226,475
"HERVL18-int",79,93,97,149,109,9
"HERVL32-int",7,1,0,9,7,1
"HERVL40-int",144,84,35,59,108,58
"HERVL66-int",26,11,0,84,133,96
"HERVL74-int",133,155,0,73,162,5
"HERVP71A-int",85,43,21,124,45,8
