"GM18558","GM18960","GM19240","Judith","Leo","Maryke"
"ENSG00000105325",15,16,14,27,21,3
"ENSG00000177311",4,7,29,11,4,2
"ENSG00000066827",29,39,50,6,5,18
"ENSG00000148459",14,23,23,20,5,15
"ENSG00000198786",49,2,79,5,59,11
"ENSG00000134283",62,80,48,79,37,45
"ENSG00000123240",66,70,89,109,97,57
"ENSG00000152223",6,7,11,11,7,5
"ENSG00000166579",19,14,25,40,41,35
"ENSG00000159147",19,28,20,33,13,15
"ENSG00000109919",81,123,106,120,61,68
"ENSG00000014824",25,56,42,48,31,28
"ENSG00000105701",93,146,70,130,71,17
"ENSG00000164751",10,23,14,35,28,24
"ENSG00000122687",12,19,14,14,11,6
"ENSG00000131116",8,24,1,12,7,14
"ENSG00000172115",418,227,348,464,202,99
"ENSG00000167004",271,457,177,890,268,327
"ENSG00000156411",88,133,126,113,124,137
"ENSG00000176531",5,8,8,5,1,4
"ENSG00000103591",31,66,42,78,30,27
"ENSG00000129351",106,105,83,137,73,34
"ENSG00000138160",9,33,48,19,2,16
"ENSG00000118007",12,16,19,25,21,15
"ENSG00000088387",3,4,25,5,2,3
"ENSG00000110697",19,25,20,27,17,7
"ENSG00000141560",15,22,39,30,16,9
"ENSG00000107485",10,11,54,14,6,6
"ENSG00000145041",25,32,44,32,16,12
"ENSG00000171960",49,73,33,119,46,25
"ENSG00000138709",8,11,21,26,12,14
"ENSG00000165406",6,10,16,9,13,6
"ENSG00000135698",19,39,27,45,19,33
"ENSG00000163636",125,235,133,207,105,139
"ENSG00000133985",22,33,46,4,1,11
"ENSG00000074603",10,15,38,18,17,14
"ENSG00000106305",15,43,127,60,28,27
"ENSG00000160613",19,45,26,43,17,18
"ENSG00000173273",9,9,35,10,7,5
"ENSG00000072609",10,19,31,28,21,14
"ENSG00000141994",8,17,1,6,6,2
"ENSG00000179526",56,64,80,28,19,3
"ENSG00000166226",248,461,207,333,145,136
"ENSG00000105339",17,30,34,33,11,10
"ENSG00000142684",26,48,40,42,15,11
"ENSG00000177954",1604,1581,1794,2327,1516,1167
"ENSG00000198707",10,8,18,10,5,9
"ENSG00000065923",11,21,38,29,6,22
"ENSG00000204525",300,276,52,619,539,383
"ENSG00000161533",12,23,23,17,12,15
"ENSG00000100216",155,190,96,182,80,47
"ENSG00000100644",81,71,77,157,104,41
"ENSG00000138795",2,9,40,17,3,7
"ENSG00000102221",4,6,31,15,10,18
"ENSG00000112200",9,11,54,9,4,11
"ENSG00000158234",13,16,36,21,14,19
"ENSG00000075975",39,30,20,51,26,48
"ENSG00000139173",3,5,19,5,2,15
"ENSG00000099991",7,15,26,22,9,9
"ENSG00000109680",5,5,12,6,3,4
"ENSG00000080603",19,16,21,26,14,14
"ENSG00000023330",54,68,93,104,40,64
"ENSG00000135632",31,19,24,32,15,12
"ENSG00000143624",83,83,88,64,20,29
"ENSG00000164615",43,40,53,67,40,43
"ENSG00000123178",23,28,22,30,7,13
"ENSG00000116580",15,18,37,20,12,11
"ENSG00000164329",46,39,50,47,45,28
"ENSG00000079432",20,17,13,16,13,5
"ENSG00000131446",6,9,38,9,10,1
"ENSG00000112659",10,10,29,17,7,5
"ENSG00000164758",26,38,48,29,13,4
"ENSG00000035115",14,6,1,4,4,11
"ENSG00000111445",13,35,23,21,9,18
"ENSG00000187608",20,183,15,97,12,2
"ENSG00000104081",13,10,20,7,7,7
"ENSG00000168259",102,162,103,194,77,59
"ENSG00000142731",6,20,1,12,2,6
"ENSG00000139668",6,6,8,7,3,11
"ENSG00000100376",9,12,32,20,16,15
"ENSG00000196865",11,8,35,18,6,7
"ENSG00000121390",52,51,37,97,44,43
"ENSG00000177030",11,19,30,18,9,9
"ENSG00000159176",30,46,43,92,47,34
"ENSG00000154237",8,13,30,14,6,11
"ENSG00000025708",24,42,19,95,27,20
"ENSG00000110321",264,385,266,502,344,278
"ENSG00000133275",31,39,23,41,20,5
"ENSG00000137133",15,25,34,32,14,19
"ENSG00000071127",165,314,188,214,188,97
"ENSG00000109606",157,178,91,166,95,57
"ENSG00000115526",7,5,20,7,6,14
"ENSG00000123595",69,53,54,50,31,14
"ENSG00000140598",11,17,22,32,12,17
"ENSG00000069345",99,122,139,149,68,61
"ENSG00000172428",43,36,66,84,46,11
"ENSG00000023697",27,33,13,122,24,43
"ENSG00000097033",96,107,140,109,83,79
"ENSG00000156535",16,9,42,4,3,19
"ENSG00000099917",23,40,39,56,30,9
"ENSG00000114316",22,44,32,56,28,26
"ENSG00000115808",11,11,15,20,9,7
"ENSG00000107937",133,189,96,80,50,51
"ENSG00000198952",53,56,72,83,54,49
"ENSG00000196678",6,6,21,10,5,7
"ENSG00000123091",29,22,7,54,52,47
"ENSG00000136381",25,22,30,43,24,17
"ENSG00000001631",22,31,28,40,24,21
"ENSG00000136878",7,15,14,50,15,13
