"GM18558","GM18960","GM19240","Guchi","Jaqo","Jingjing"
"(CATTC)n",10.5309268170589,40.258997781171,44.4605315298369,13.1134646158844,44.2470913519061,1.35557374040145
"(GAATG)n",21.0618536341179,51.7615685757913,13.6801635476421,0,0,0
"7SK",18.8052264590338,11.5025707946203,41.0404906429264,86.9629758737595,93.5349905793457,172.157865030984
"ACRO1",63.937769960715,2.87564269865507,85.5010221727632,0,0,0
"ALR/Alpha",164.733783781136,668.586927437304,524.976276140766,1236.80676798236,909.025686887893,760.476868365213
"AluJb",21896.0534798406,18470.2530534615,21310.2747663395,14829.9481158688,15405.2689573946,28923.8768989457
"AluJo",12077.4686410499,10854.1133660736,10680.7876898216,5250.90730513938,6023.20532149871,19485.0169445304
"AluJr4",2713.97028256776,2324.95712186262,2850.60407923993,876.53158221964,1061.93019244575,1577.88783382729
"AluJr",12877.8190791464,11367.4155877835,11234.8343135011,13184.5533977494,14690.0343288328,28049.5318363868
"AluSc5",911.677378733959,872.757559041814,892.630671483648,321.624974263269,373.579872553435,605.941461959448
"AluSc8",5578.38237680779,2900.08566159364,3491.86174553565,2232.04971409316,2434.71020388273,4648.26235583657
"AluSc",4322.19324934433,3618.99633625741,4213.49037267377,3820.84947965978,4879.50202351653,7135.74016947323
"AluSg4",1167.42845857682,1107.1224389822,1261.99508726999,1795.85447002795,1927.26887774568,3974.54220685705
"AluSg7",1109.50836108299,948.962090556173,990.101836760598,568.020072572255,603.216675772188,615.430478142258
"AluSg",6605.8999505294,5578.74683539084,7380.44823395292,6019.08025869093,9270.04568310629,16086.593577344
"AluSp",8718.10298640807,7808.80774819785,8837.38565177681,10624.6670682592,12391.4259375895,37759.5065388824
"AluSq10",342.255121554415,255.932200180301,225.722698536095,118.021181542959,154.584774849697,206.04720854102
"AluSq2",8372.83902862021,7030.94639821165,8360.28994805279,6272.37718048196,7155.14673443798,11127.9048349555
"AluSq4",162.477156606052,122.214814692841,189.812269223534,135.965922596275,157.385223669438,244.003273272261
"AluSq",3897.19513137017,3166.08261121923,4254.5308633167,1608.12487131635,2011.28234233791,3759.00598213322
"AluSx1",18453.1926197207,15125.8805949257,18011.6453309143,16864.6056783755,19589.6995838515,35975.5714965141
"AluSx3",4400.42299141391,3764.21629253949,4064.71859409316,4043.77837812982,5043.0482345894,8876.29685214869
