"baseMean","log2FoldChange","lfcSE","pvalue","padj"
"(CATTC)n",25.6610976393764,-0.297181927076821,0.793380476685086,0.562450157095661,0.730858198319072
"(GAATG)n",14.4172642929252,-7.98881732763684,3.07249383682142,5.22644416102e-06,7.91939166093538e-05
"7SK",70.6673532301116,2.04078194020849,0.674695439559758,0.000392548874731592,0.00290031978520697
"ACRO1",25.3857391386889,-8.87433602074145,3.27194203495784,2.8437543664257e-06,4.62239346106287e-05
"ALR/Alpha",710.767718432445,0.910468297569557,0.531721748006394,0.0472703997165915,0.130835100144374
"AluJb",20139.2792119751,-0.0474262989350708,0.355840067026351,0.874082499811395,0.934724587118884
"AluJo",10728.5832113523,-0.0922834442656381,0.485556600410285,0.816265553829841,0.898551288733851
"AluJr4",1900.98018202716,-1.08498770657419,0.344141360574647,0.00078577531508768,0.0052035787532473
"AluJr",15234.0314239,0.595915641528299,0.377594804491035,0.0965805333213328,0.219144661901704
"AluSc5",663.035319672596,-0.957256451051254,0.359812600923431,0.00430477769025767,0.0203718355860463
"AluSc8",3547.55867629159,-0.304211623673934,0.416726551083212,0.421442653096476,0.620707960244233
"AluSc",4665.12860515418,0.342948242896517,0.333301041874953,0.274851593822538,0.469822800912713
"AluSg4",1872.36858990995,1.01173855655747,0.408452619012419,0.00701930194010209,0.0307610585022121
"AluSg7",805.873252481078,-0.734168227336063,0.253685202013963,0.00271552592112362,0.0145054135678041
"AluSg",8490.1357565024,0.598430693037479,0.414815891143878,0.119560301600509,0.261337187361503
"AluSp",14356.6493218523,1.07667336144852,0.524426426996971,0.0189015009010849,0.0630520216625742
"AluSq10",217.093864200748,-0.701360675170715,0.38901973366707,0.049890190543871,0.136397034697923
"AluSq2",8053.25068746001,0.0450270285252851,0.325482013951804,0.891048585036152,0.94271885801458
"AluSq4",168.643110010067,0.150171402660058,0.396161280136495,0.682931037485339,0.814503166596779
"AluSq",3116.03696694893,-0.538656897183579,0.398997793356528,0.142072630197985,0.29064744026773
"AluSx1",20670.0992173836,0.432550934388636,0.373238714326473,0.214284516475361,0.394177690800356
"AluSx3",5032.08022381908,0.487981810084445,0.374321544980644,0.158888345199047,0.317067367428455
"AluSx4",1430.61344663847,0.730944914160966,0.429513458734703,0.0604812850746352,0.154698776589139
"AluSx",26846.6128919127,0.664270371094838,0.48048839147244,0.127107031141678,0.269274137063175
"AluSz6",6880.76766229332,-0.0616883179782763,0.326352763476678,0.838438056709361,0.915218098532563
"AluSz",20711.4671377295,0.670839995107527,0.427312622179148,0.0863385033440887,0.201006828097956
"AluY",19720.5389811638,0.74031333565305,0.448138016189253,0.0645100368448706,0.161999923986838
