"GM18558","GM18960","GM19240","Judith","Leo","Maryke"
"(CATTC)n",14,28,26,3,0,0
"(GAATG)n",28,36,8,109,22,27
"7SK",25,8,24,201,92,15
"ACRO1",85,2,50,19,16,0
"ALR/Alpha",219,465,307,14,0,7
"AluJb",29109,12846,12462,90320,46785,29005
"AluJo",16056,7549,6246,25429,11635,8778
"AluJr4",3608,1617,1667,4968,2416,1384
"AluJr",17120,7906,6570,69425,31768,20783
"AluSc5",1212,607,522,2054,823,651
"AluSc8",7416,2017,2042,12660,5456,3405
"AluSc",5746,2517,2464,24767,9503,6108
"AluSg4",1552,770,738,5919,2700,1473
"AluSg7",1475,660,579,5591,2649,1797
"AluSg",8782,3880,4316,24817,11014,8302
"AluSp",11590,5431,5168,53523,21747,15467
"AluSq10",455,178,132,462,185,85
"AluSq2",11131,4890,4889,33394,15721,9472
"AluSq4",216,85,111,1381,698,399
"AluSq",5181,2202,2488,6937,2996,1984
"AluSx1",24532,10520,10533,70870,27271,20045
"AluSx3",5850,2618,2377,18059,6816,9372
"AluSx4",1323,531,769,6725,2950,2255
"AluSx",27983,12457,11871,84650,35963,26494
"AluSz6",9623,4428,4408,24206,11410,7018
"AluSz",21309,9167,9780,66505,29813,20508
"AluY",18959,8322,9153,67053,31318,20162
"AluYa5",283,116,99,9,6,6
"AluYa8",12,12,0,22,5,1
"AluYb8",208,96,137,11,4,17
"AluYb9",27,16,0,0,3,2
"AluYc3",94,47,79,268,65,139
"AluYc",608,240,318,1995,753,577
"AluYd8",19,13,0,0,0,0
"AluYg6",39,19,26,34,11,10
"AluYh9",11,7,0,38,10,1
"AluYk11",52,45,34,80,29,6
"AluYk12",8,5,0,7,2,1
"AluYk4",185,62,135,317,102,102
"AmnSINE1",77,46,0,499,199,119
"Arthur1",115,77,22,422,139,98
"Arthur1A",87,50,48,301,110,58
"Arthur1B",111,51,54,361,155,99
"Arthur1C",34,21,0,77,18,7
"BLACKJACK",286,177,102,984,420,342
"BSR/Beta",132,171,225,2561,682,558
"CER",65,36,52,0,0,0
"CR1_Mam",465,308,21,564,208,61
"Charlie10",203,133,143,177,84,40
"Charlie10a",35,18,0,84,44,79
"Charlie10b",25,13,34,19,5,11
"Charlie11",17,3,0,38,28,15
"Charlie12",56,65,16,0,0,0
"Charlie13a",62,31,25,134,48,32
"Charlie13b",83,44,21,58,22,9
"Charlie14a",42,17,0,114,47,25
"Charlie15a",545,285,107,999,430,185
"Charlie16a",207,105,95,274,69,60
"Charlie17a",154,72,126,781,240,238
"Charlie18a",346,216,215,707,294,165
"Charlie19a",285,195,326,807,218,177
"Charlie1",551,226,199,1027,396,278
"Charlie1a",1375,705,692,2619,1196,816
"Charlie1b",366,220,226,848,235,192
"Charlie20a",72,46,34,168,67,22
"Charlie21a",105,41,52,281,84,36
"Charlie22a",126,67,59,292,99,116
"Charlie23a",248,82,68,586,165,129
"Charlie24",238,116,174,134,61,20
"Charlie25",94,49,107,232,135,66
"Charlie26a",33,6,14,59,28,9
"Charlie2a",260,118,154,465,172,126
"Charlie2b",491,234,137,1497,625,512
"Charlie3",54,26,0,653,279,174
"Charlie4",42,17,0,156,47,37
"Charlie4a",499,244,115,659,286,133
"Charlie4z",1112,549,482,2569,1086,780
"Charlie5",359,189,112,4164,1707,1891
"Charlie6",13,10,18,78,34,12
"Charlie7",469,204,74,1542,568,530
"Charlie7a",164,69,23,192,81,34
"Charlie8",782,332,395,1243,472,380
"Charlie9",210,91,64,211,82,65
"Cheshire",223,122,102,583,353,140
"D20S16",58,43,56,15,6,1
"DNA1_Mam",23,16,24,92,22,47
"ERV3-16A3_I-int",831,1833,972,3430,1590,715
"ERV3-16A3_LTR",63,25,37,313,67,78
"ERVL-B4-int",596,386,77,3934,2024,1575
"ERVL-E-int",818,443,430,6158,3957,1771
"ERVL-int",65,30,59,150,76,41
"Eulor10",0,2,0,1,0,0
"Eulor11",0,0,0,3,0,0
"Eulor12",0,1,0,16,18,24
"Eulor1",7,1,0,33,6,9
"Eulor2A",0,0,0,3,1,0
"Eulor2B",10,7,0,14,0,1
"Eulor2C",6,14,0,1,3,1
"Eulor3",0,0,0,5,2,0
"Eulor4",0,0,0,10,5,0
"Eulor5A",16,6,52,10,0,0
"Eulor5B",0,0,0,1,4,0
"Eulor6A",0,0,0,7,0,0
"Eulor6B",3,1,0,0,0,0
"Eulor6C",0,0,0,0,0,0
"Eulor6D",6,0,0,11,12,0
"Eulor6E",0,0,0,0,0,0
"Eulor7",0,0,0,0,0,0
"Eulor8",11,2,0,60,7,14
"Eulor9A",9,2,0,13,6,10
"Eulor9B",0,0,0,13,0,0
"Eulor9C",2,3,0,22,1,0
"FAM",816,375,436,779,305,224
"FLAM_A",2218,1012,1359,4131,1878,1237
"FLAM_C",3112,1419,1572,5592,2148,1757
"FRAM",1112,476,406,5469,2260,1518
"FordPrefect",22,29,15,268,122,41
"FordPrefect_a",9,3,0,53,12,10
"GSAT",0,3,0,11,4,0
"GSATII",89,82,47,13,3,0
"GSATX",3,4,0,126,36,18
"HAL1",4460,2287,1358,10283,4765,2548
"HAL1b",586,373,230,1698,654,540
"HERV-Fc1-int",53,12,0,0,0,0
"HERV-Fc1_LTR1",7,1,0,89,16,45
"HERV-Fc1_LTR2",0,0,0,0,0,0
"HERV-Fc1_LTR3",0,0,0,1,1,0
"HERV-Fc2-int",0,0,0,2,0,3
"HERV-Fc2_LTR",0,0,0,0,0,0
"HERV15-int",264,60,65,347,104,76
"HERV16-int",186,107,107,1000,527,287
"HERV17-int",233,100,60,3874,1872,1295
"HERV1_I-int",18,11,18,169,32,71
"HERV1_LTRa",12,4,0,12,0,0
"HERV1_LTRb",1,0,0,0,0,0
"HERV1_LTRc",4,3,0,4,0,0
"HERV1_LTRd",126,38,59,0,13,0
"HERV1_LTRe",9,9,0,3,0,0
"HERV3-int",1095,332,273,152,28,72
"HERV30-int",7,0,0,6,18,2
"HERV35I-int",46,12,80,99,44,37
"HERV4_I-int",288,140,23,243,102,85
"HERV9-int",357,100,148,222,94,54
"HERVE-int",803,309,435,349,93,48
"HERVE_a-int",357,366,349,548,232,74
"HERVFH19-int",14,5,0,211,130,51
"HERVFH21-int",45,14,0,24,14,1
"HERVH-int",1195,564,726,5295,2459,1241
"HERVH48-int",115,40,43,379,216,79
"HERVI-int",411,123,33,64,21,12
"HERVIP10F-int",931,267,215,289,194,213
"HERVIP10FH-int",289,69,170,431,149,128
"HERVK-int",440,160,108,454,188,133
"HERVK11-int",107,42,0,168,49,17
"HERVK11D-int",10,0,0,104,18,15
"HERVK13-int",125,47,0,48,7,2
"HERVK14-int",171,110,207,96,44,9
"HERVK14C-int",2,6,24,29,3,3
"HERVK22-int",246,77,140,81,87,31
"HERVK3-int",403,114,99,209,34,83
"HERVK9-int",765,326,338,903,372,209
"HERVKC4-int",10,1,0,4,1,0
"HERVL-int",513,297,344,4424,1312,1138
"HERVL18-int",79,93,97,225,62,52
"HERVL32-int",7,1,0,47,13,14
"HERVL40-int",144,84,35,887,237,361
"HERVL66-int",26,11,0,119,36,15
"HERVL74-int",133,155,0,91,45,0
"HERVP71A-int",85,43,21,146,93,69
"HERVS71-int",68,42,0,1157,534,443
"HSAT4",51,18,21,66,12,19
"HSAT5",49,29,16,5,1,10
"HSAT6",0,0,0,21,6,22
"HSATI",3,21,0,0,2,1
"HSMAR1",214,106,61,1014,889,763
"HSMAR2",489,243,58,1132,441,346
"HUERS-P1-int",77,28,64,309,169,82
"HUERS-P2-int",56,14,39,158,69,21
"HUERS-P3-int",112,49,0,264,108,46
"HUERS-P3b-int",133,65,26,723,376,137
"Harlequin-int",1387,735,1114,889,339,154
"Helitron1Na_Mam",15,14,0,312,77,57
"Helitron1Nb_Mam",10,7,0,104,13,31
"Helitron2Na_Mam",41,20,0,102,25,9
"Helitron3Na_Mam",159,77,79,330,236,115
"Kanga11a",76,62,17,284,130,11
"Kanga1",59,25,9,323,137,95
"Kanga1a",83,51,3,701,166,266
"Kanga1b",64,34,59,51,11,2
"Kanga1c",155,98,118,165,62,32
"Kanga1d",49,32,20,45,25,20
"Kanga2_a",153,91,58,704,297,181
"L1HS",447,215,43,116,54,15
"L1M1",1280,600,410,8685,2087,1961
"L1M2",1002,644,365,3157,1126,929
"L1M2a1",26,10,0,53,1,3
"L1M2a",48,22,3,827,313,312
"L1M2b",32,12,0,157,9,6
"L1M2c",88,27,52,2428,1533,862
"L1M3",726,407,411,4146,1411,1002
"L1M3a",380,313,95,374,97,128
"L1M3b",100,21,52,448,219,149
"L1M3c",62,41,44,566,279,137
"L1M3d",29,18,0,389,125,93
"L1M3de",32,9,3,136,32,25
"L1M3e",60,42,22,155,59,42
"L1M3f",82,57,84,282,130,45
"L1M4",3270,1730,1072,8371,4081,2351
"L1M4b",989,570,457,2222,820,468
"L1M4c",1012,496,275,1590,573,351
"L1M5",9228,4813,4265,17799,7732,4900
"L1M6",442,240,77,2127,821,710
"L1M7",453,349,241,1206,588,480
"L1M",69,19,0,98,48,36
"L1MA10",337,183,125,1894,733,525
"L1MA1",661,406,299,12865,9256,5250
"L1MA2",774,508,491,6417,2358,1627
"L1MA3",1137,678,547,10295,3909,2752
"L1MA4",1229,540,446,11693,4846,3518
"L1MA4A",1060,841,399,9508,5146,2476
"L1MA5",2015,797,335,2512,1143,1609
"L1MA5A",490,243,217,2222,962,639
"L1MA6",669,405,357,5349,1742,1253
"L1MA7",991,595,396,5785,2615,1950
"L1MA8",1172,750,775,7144,3494,1926
"L1MA9",1691,1022,900,9001,4560,2459
"L1MB1",680,419,206,1968,728,467
"L1MB2",1975,1110,622,4083,1397,1142
"L1MB3",3414,1677,1484,8087,3553,1910
"L1MB4",1767,1051,739,4691,2258,1489
"L1MB5",1769,927,681,7044,2838,1837
"L1MB7",4829,2350,2070,11965,5071,3051
"L1MB8",3557,1667,961,16161,8321,5358
"L1MC1",2063,1415,1033,9121,4126,2331
"L1MC2",1035,619,389,4613,1298,1100
"L1MC3",1564,851,747,10215,4285,2709
"L1MC4",7863,4069,2212,9183,4300,2668
"L1MC4a",5406,2644,2043,3707,1509,997
"L1MC5",4235,2189,1572,5417,2127,1474
"L1MC",1810,800,672,2759,1127,823
"L1MCa",926,846,298,8479,3326,1961
"L1MCb",348,154,159,741,236,215
"L1MCc",522,324,160,1170,307,225
"L1MD1",982,586,378,3775,1531,1009
"L1MD2",2017,946,846,5835,2361,1549
"L1MD3",987,547,240,1421,519,313
"L1MD",935,638,442,4261,1514,972
"L1MDa",1249,623,459,3914,1857,908
"L1MDb",113,64,18,620,211,81
"L1ME1",5173,3243,2681,19278,8075,5266
"L1ME2",1762,983,795,6337,2270,1390
"L1ME2z",1075,499,283,3073,1342,804
"L1ME3",1689,677,517,7114,2891,2592
"L1ME3A",2538,1459,1370,9303,4078,2676
"L1ME3B",1195,790,554,9130,4177,2878
"L1ME3C",1602,747,708,2043,1080,744
"L1ME3D",477,287,199,1289,563,527
"L1ME3E",1066,788,361,1735,753,423
"L1ME3F",695,381,232,2137,1082,565
"L1ME4a",6075,3136,2414,12216,5515,3438
"L1ME5",549,386,232,804,250,246
"L1MEa",33,22,0,51,26,17
"L1MEb",108,66,28,525,225,65
"L1MEc",2500,1248,757,8445,3516,2434
"L1MEd",1189,587,416,6475,2550,2011
"L1MEf",1983,1279,890,18787,11271,2881
"L1MEg1",53,27,74,181,35,31
"L1MEg2",130,55,66,453,227,144
"L1MEg",2496,1250,768,5535,2522,1616
"L1P1",484,310,132,1640,1072,1032
"L1P2",510,268,59,1563,675,574
"L1P3",328,185,175,2071,1148,632
"L1P3b",3,5,4,11,1,0
"L1P4",265,197,67,3343,2086,1151
"L1P4a",30,38,24,493,177,123
"L1P4b",1,0,4,17,2,0
"L1P4c",6,4,0,14,3,6
"L1P4d",3,2,0,58,34,19
"L1P4e",23,19,0,42,31,18
"L1P5",27,7,4,43,17,22
"L1P",0,0,0,3,0,0
"L1PA10",1246,606,892,4276,1629,1022
"L1PA11",1054,746,368,3464,1326,954
"L1PA12",280,192,122,1348,703,387
"L1PA13",862,557,464,19916,11358,7649
"L1PA14",610,198,211,2267,729,408
"L1PA15-16",160,67,94,1367,467,547
"L1PA15",904,481,296,4389,1763,1227
"L1PA16",1374,943,422,10635,4812,2976
"L1PA17",535,275,210,6097,2226,1482
"L1PA2",889,459,390,9020,3567,2703
"L1PA3",3345,1698,1361,23888,11817,7270
"L1PA4",2666,1784,1226,20418,9656,6760
"L1PA5",3580,1813,1444,15736,6856,3979
"L1PA6",2175,1139,563,15088,5957,5476
"L1PA7",3301,2364,1412,16094,7300,4626
"L1PA8",814,410,244,4673,1931,1127
"L1PA8A",250,113,52,6060,2637,1660
"L1PB1",2001,942,644,14129,7891,4401
"L1PB2",305,192,145,2535,1323,935
"L1PB3",432,217,190,3172,1118,633
"L1PB4",844,465,311,5294,1836,1930
"L1PB",229,101,60,478,158,216
"L1PBa1",86,33,17,493,162,114
"L1PBa",246,95,48,1573,543,314
"L1PBb",55,32,0,111,37,65
"L1PREC2",1364,713,676,4708,1944,1216
"L2",8855,3912,3426,21444,9529,6215
"L2a",24931,11590,9715,65860,26726,17140
"L2b",14699,6779,6175,36315,15694,9941
"L2c",20558,10298,9566,60407,26797,17729
"L3",6150,3025,2847,14445,5924,3825
"L3b",685,380,273,3199,1062,1024
"L5",63,16,0,45,22,19
"LOR1-int",275,211,69,665,346,178
"LOR1a",96,89,103,279,68,78
"LOR1b",170,36,105,339,163,73
"LSAU",103,54,138,201,141,88
"LTR10A",103,42,0,162,73,45
"LTR10B1",252,57,29,19,4,1
"LTR10B",9,2,0,29,2,6
"LTR10C",106,34,69,426,124,84
"LTR10D",30,8,0,892,256,349
"LTR10E",210,74,33,65,16,12
"LTR10F",25,18,34,141,29,30
"LTR10G",21,7,22,26,2,7
"LTR12",273,75,83,712,417,202
"LTR12B",33,1,22,90,22,3
