"Chr","KRAB_ZNFs","TEs","distance","pos_or_neg"
"1","9","ZNF782","LTR18B",6307973,"pos"
"2","9","ZNF782","MER67A",7266362,"neg"
"3","9","ZNF782","LTR40A1",88805616,"pos"
"4","9","ZNF782","UCON22",11598187,"neg"
"5","9","ZNF782","UCON26",11724102,"neg"
"6","9","ZNF782","LTR18B",13305340,"pos"
"7","9","ZNF782","MER57E2",16249912,"neg"
"8","9","ZNF782","MER67A",18583997,"neg"
"9","9","ZNF782","MER67A",18584568,"neg"
"10","9","ZNF782","UCON26",19430877,"neg"
"11","9","ZNF782","AluYa8",21944010,"neg"
"12","9","ZNF782","MER67A",31850357,"neg"
"13","9","ZNF782","LTR40A1",36032482,"pos"
"14","9","ZNF782","MER67A",38463033,"neg"
"15","9","ZNF782","LTR18B",38545165,"pos"
"16","9","ZNF782","LTR18B",38545384,"pos"
"17","9","ZNF782","AluYa8",39190027,"neg"
"18","9","ZNF782","AluYa8",41249276,"neg"
"19","9","ZNF782","AluYa8",85353269,"neg"
"20","9","ZNF782","UCON26",82940463,"neg"
"21","9","ZNF782","LTR40A1",77748027,"pos"
"22","9","ZNF782","LTR40A1",77658005,"pos"
"23","9","ZNF782","UCON26",74370495,"neg"
"24","9","ZNF782","LTR18B",73058928,"pos"
"25","9","ZNF782","AluYa8",72958481,"neg"
"26","9","ZNF782","MER67A",72624612,"neg"
"27","9","ZNF782","MER57E2",72624224,"neg"
"28","9","ZNF782","MER67A",72529140,"neg"
"29","9","ZNF782","LTR18B",70417369,"pos"
"30","9","ZNF782","MER67A",69655283,"neg"
"31","9","ZNF782","LTR18B",69380250,"pos"
"32","9","ZNF782","LTR18B",69377301,"pos"
"33","9","ZNF782","LTR18B",96392367,"pos"
"34","9","ZNF782","MER57E2",67048878,"neg"
"35","9","ZNF782","MER57E2",67048525,"neg"
"36","9","ZNF782","MER67A",64443067,"neg"
"37","9","ZNF782","AluYa8",61482585,"neg"
"38","9","ZNF782","AluYa8",60599780,"neg"
"39","9","ZNF782","LTR40A1",59990713,"pos"
"40","9","ZNF782","AluYa8",59455151,"neg"
"41","9","ZNF782","LTR40A1",57845694,"pos"
"42","9","ZNF782","MER67A",57599036,"neg"
"43","9","ZNF782","MER67A",57421601,"neg"
"44","9","ZNF782","AluYa8",56219503,"neg"
"45","9","ZNF782","LTR40A1",56109380,"pos"
"46","9","ZNF782","MER67A",55293965,"neg"
"47","9","ZNF782","MER67A",55293348,"neg"
"48","9","ZNF782","MER67A",55216037,"neg"
"49","9","ZNF782","AluYa8",55060590,"neg"
"50","9","ZNF782","MER57E2",54769685,"neg"
"51","9","ZNF782","MER57E2",54516616,"neg"
"52","9","ZNF782","MER67A",54043090,"neg"
"53","9","ZNF782","MER57E2",53781856,"neg"
"54","9","ZNF782","MER67A",53656845,"neg"
"55","9","ZNF782","MER57E2",53395534,"neg"
"56","9","ZNF782","MER57E2",53257377,"neg"
"57","9","ZNF782","MER67A",52851999,"neg"
"58","9","ZNF782","MER67A",52851383,"neg"
"59","9","ZNF782","MER67A",52774128,"neg"
"60","9","ZNF782","AluYa8",52371191,"neg"
"61","9","ZNF782","AluYa8",94460579,"neg"
"62","9","ZNF782","MER67A",93213490,"neg"
"63","9","ZNF782","MER67A",93213344,"neg"
"64","9","ZNF782","AluYa8",33825184,"neg"
"65","9","ZNF782","MER57E2",31848470,"neg"
"66","9","ZNF782","MER67A",31373811,"neg"
"67","9","ZNF782","UCON16",92684768,"neg"
"68","9","ZNF782","UCON28c",92440768,"neg"
"69","9","ZNF782","X9_LINE",26556749,"neg"
"70","9","ZNF782","AluYa8",25231005,"neg"
"71","9","ZNF782","AluYa8",24525716,"neg"
"72","9","ZNF782","UCON28c",23742760,"neg"
"73","9","ZNF782","AluYa8",23293425,"neg"
"74","9","ZNF782","UCON28c",22689521,"neg"
"75","9","ZNF782","UCON22",91851831,"neg"
"76","9","ZNF782","LTR18B",91792726,"pos"
"77","9","ZNF782","LTR18B",91786826,"pos"
"78","9","ZNF782","MER67A",21336366,"neg"
"79","9","ZNF782","X9_LINE",20723730,"neg"
"80","9","ZNF782","AluYa8",18707174,"neg"
"81","9","ZNF782","UCON26",17114474,"neg"
"82","9","ZNF782","UCON26",16847920,"neg"
"83","9","ZNF782","X9_LINE",16835522,"neg"
"84","9","ZNF782","LTR40A1",16076728,"pos"
"85","9","ZNF782","UCON28c",14397934,"neg"
"86","9","ZNF782","MER67A",12838956,"neg"
"87","9","ZNF782","MER67A",12644582,"neg"
"88","9","ZNF782","UCON26",10701239,"neg"
"89","9","ZNF782","AluYa8",10035699,"neg"
"90","9","ZNF782","AluYa8",9831114,"neg"
"91","9","ZNF782","LTR40A1",6392439,"pos"
"92","9","ZNF782","MER67A",5447432,"neg"
"93","9","ZNF782","MER67A",5106794,"neg"
"94","9","ZNF782","MER67A",5106437,"neg"
"95","9","ZNF782","LTR18B",90020349,"pos"
"96","9","ZNF782","LTR18B",90017493,"pos"
"97","9","ZNF782","AluYa8",99512594,"neg"
"98","9","ZNF189","LTR54B",93231,"pos"
"99","9","ZNF189","LTR54B",101461,"pos"
"100","9","ZNF189","TAR1",104149990,"pos"
"101","9","ZNF189","LTR54B",93326375,"pos"
"102","9","ZNF189","TAR1",104149581,"pos"
"103","9","ZNF189","LTR54B",10864036,"pos"
"104","9","ZNF189","LTR54B",11061419,"pos"
"105","9","ZNF189","MLT1-int",12409989,"pos"
"106","9","ZNF189","MLT1-int",24575138,"pos"
"107","9","ZNF189","TAR1",36846997,"pos"
"108","9","ZNF189","TAR1",36847769,"pos"
"109","9","ZNF189","LTR54B",36942057,"pos"
"110","9","ZNF189","LTR54B",89038773,"pos"
"111","9","ZNF189","LTR54B",89038222,"pos"
"112","9","ZNF189","LTR54B",89036196,"pos"
"113","9","ZNF189","LTR54B",89035731,"pos"
"114","9","ZNF189","TAR1",102645654,"pos"
"115","9","ZNF189","LTR54B",103977940,"pos"
"116","9","ZNF189","LTR54B",103977855,"pos"
"117","9","ZNF189","LTR54B",103977467,"pos"
"118","9","ZNF189","LTR54B",85781583,"pos"
"119","9","ZNF189","LTR54B",78466717,"pos"
"120","9","ZNF189","MLT1-int",78404230,"pos"
"121","9","ZNF189","MLT1-int",75222721,"pos"
"122","9","ZNF189","MLT1-int",73979586,"pos"
"123","9","ZNF189","MLT1-int",73979258,"pos"
"124","9","ZNF189","MLT1-int",73978689,"pos"
"125","9","ZNF189","LTR54B",64610121,"pos"
"126","9","ZNF189","LTR54B",63282272,"pos"
"127","9","ZNF189","LTR54B",63027587,"pos"
"128","9","ZNF189","LTR54B",62956186,"pos"
"129","9","ZNF189","LTR54B",62465103,"pos"
"130","9","ZNF189","TAR1",61907133,"pos"
"131","9","ZNF189","TAR1",61354812,"pos"
"132","9","ZNF189","LTR54B",60652565,"pos"
"133","9","ZNF189","TAR1",59847734,"pos"
"134","9","ZNF189","TAR1",59826135,"pos"
"135","9","ZNF189","LTR54B",59497453,"pos"
"136","9","ZNF189","TAR1",58803526,"pos"
"137","9","ZNF189","TAR1",58721133,"pos"
"138","9","ZNF189","TAR1",57405930,"pos"
"139","9","ZNF189","TAR1",57384243,"pos"
"140","9","ZNF189","LTR54B",97754262,"pos"
"141","9","ZNF189","LTR54B",97753757,"pos"
"142","9","ZNF189","LTR54B",97753429,"pos"
"143","9","ZNF189","LTR54B",38009522,"pos"
"144","9","ZNF189","TAR1",37666350,"pos"
"145","9","ZNF189","LTR54B",97465507,"pos"
"146","9","ZNF189","TAR1",37202901,"pos"
"147","9","ZNF189","LTR54B",97465101,"pos"
"148","9","ZNF189","LTR54B",97464661,"pos"
"149","9","ZNF189","TAR1",36820494,"pos"
"150","9","ZNF189","TAR1",35859189,"pos"
"151","9","ZNF189","TAR1",35783689,"pos"
"152","9","ZNF189","LTR54B",34894308,"pos"
"153","9","ZNF189","LTR54B",34893952,"pos"
"154","9","ZNF189","TAR1",34436539,"pos"
"155","9","ZNF189","MLT1-int",97182320,"pos"
"156","9","ZNF189","TAR1",34071036,"pos"
"157","9","ZNF189","TAR1",33820299,"pos"
"158","9","ZNF189","LTR54B",33666729,"pos"
"159","9","ZNF189","LTR54B",33666372,"pos"
"160","9","ZNF189","TAR1",33512269,"pos"
"161","9","ZNF189","LTR54B",33308830,"pos"
"162","9","ZNF189","LTR54B",33308294,"pos"
"163","9","ZNF189","LTR54B",30254731,"pos"
"164","9","ZNF189","LTR54B",28104610,"pos"
"165","9","ZNF189","LTR54B",27290379,"pos"
"166","9","ZNF189","TAR1",24315149,"pos"
"167","9","ZNF189","MLT1-int",23937807,"pos"
"168","9","ZNF189","LTR54B",22206339,"pos"
"169","9","ZNF189","LTR54B",22205704,"pos"
"170","9","ZNF189","LTR54B",15417507,"pos"
"171","9","ZNF189","LTR54B",15380542,"pos"
"172","9","ZNF189","LTR54B",15379424,"pos"
"173","9","ZNF189","TAR1",12074294,"pos"
"174","9","ZNF189","LTR54B",10923230,"pos"
"175","9","ZNF189","LTR54B",10085566,"pos"
"176","9","ZNF189","LTR54B",7358547,"pos"
"177","9","ZNF189","LTR54B",7343746,"pos"
"178","9","ZNF189","MLT1-int",5982539,"pos"
"179","12","ZNF140","HERVL18-int",104687343,"pos"
"180","12","ZNF140","HERVL18-int",104687044,"pos"
"181","12","ZNF140","HERVL18-int",104686420,"pos"
"182","12","ZNF140","HERVL18-int",104684798,"pos"
"183","12","ZNF140","Eulor9A",104311729,"neg"
"184","12","ZNF140","L1MA3",104241143,"neg"
"185","12","ZNF140","L1MA3",104238999,"neg"
"186","12","ZNF140","L1MA3",104236690,"neg"
"187","12","ZNF140","MLT1J1-int",104221973,"neg"
"188","12","ZNF140","L1MA3",104043710,"neg"
"189","12","ZNF140","L1MA3",103674082,"neg"
"190","12","ZNF140","L1MA3",103673710,"neg"
"191","12","ZNF140","L1MA3",103670414,"neg"
"192","12","ZNF140","L1MA3",103666615,"neg"
"193","12","ZNF140","L1MA3",103661857,"neg"
"194","12","ZNF140","L1MA3",103661473,"neg"
"195","12","ZNF140","L1MA3",101968081,"neg"
"196","12","ZNF140","L1MA3",101967645,"neg"
"197","12","ZNF140","L1MA3",101964906,"neg"
"198","12","ZNF140","L1MA3",101963119,"neg"
"199","12","ZNF140","L1MA3",101961485,"neg"
"200","12","ZNF140","L1MA3",101960830,"neg"
"201","12","ZNF140","L1MA3",100289183,"neg"
"202","12","ZNF140","L1MA3",94859125,"neg"
"203","12","ZNF140","L1MA3",94314454,"neg"
"204","12","ZNF140","L1MA3",93637869,"neg"
"205","12","ZNF140","MLT1J1-int",92395246,"neg"
"206","12","ZNF140","MLT1J1-int",92394850,"neg"
"207","12","ZNF140","L1MA3",91923775,"neg"
"208","12","ZNF140","L1MA3",91921895,"neg"
"209","12","ZNF140","X5A_LINE",91872115,"neg"
"210","12","ZNF140","L1MA3",91362918,"neg"
"211","12","ZNF140","L1MA3",91303969,"neg"
"212","12","ZNF140","L1MA3",91224430,"neg"
"213","12","ZNF140","MLT1J1-int",90499546,"neg"
"214","12","ZNF140","L1MA3",89998647,"neg"
"215","12","ZNF140","L1MA3",89713165,"neg"
"216","12","ZNF140","L1MA3",89688975,"neg"
